body_temp,ambient_temp,pressure_hpa,humidity_pct,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,heart_rate_bpm,spo2_pct,physio_state
38.04,28.41,1028.83,47.38,0.19,0.1,0.07,5.05,13.15,5.43,96.93,96.74,Dehydrated
38.85,25.36,1016.62,71.3,0.1,0.14,0.1,16.14,6.25,11.13,104.57,95.59,Possible fever
39.2,27.52,1016.65,58.33,0.02,0.04,0.06,16.55,10.2,10.97,95.26,95.84,Possible fever
36.06,27.13,1005.44,38.68,0.15,0.09,0.11,11.61,6.66,14.96,70.65,96.9,Normal
37.01,29.76,1022.51,41.63,0.17,0.08,0.2,7.42,14.66,6.0,54.34,96.28,Stressed
36.66,31.23,1026.74,44.87,0.03,0.02,0.03,11.39,9.6,2.6,101.88,83.08,Low oxygen state
36.69,39.44,1002.56,74.33,0.07,0.1,0.06,2.33,14.56,12.5,88.6,87.16,Low oxygen state
38.0,23.03,1018.79,60.95,1.66,2.86,1.53,4.77,11.93,16.84,178.7,91.48,Overexertion
37.16,19.93,1027.71,74.6,0.02,0.0,0.04,9.14,18.56,3.14,58.74,95.71,Fatigued
36.77,32.88,1012.7,32.39,0.23,0.19,-0.02,2.45,8.62,9.38,98.11,97.59,Stressed
37.9,24.09,1021.8,31.05,1.5,3.55,2.27,7.82,11.41,6.46,179.92,92.5,Overexertion
38.91,22.92,1013.41,60.82,0.13,0.08,0.13,9.63,4.66,9.82,97.3,96.97,Possible fever
36.53,32.3,1007.17,73.07,0.2,0.04,0.09,8.62,11.54,14.08,61.64,95.03,Normal
36.89,32.55,1030.3,35.4,0.13,0.04,0.11,9.27,8.18,5.86,56.73,95.76,Normal
36.89,18.5,1013.78,58.25,0.1,0.03,0.12,13.62,21.5,15.38,109.57,91.01,Low oxygen state
38.37,27.01,1000.06,67.12,3.33,1.81,3.54,8.22,13.05,11.23,181.56,96.28,Overexertion
37.59,36.63,1009.0,74.31,0.25,0.27,0.1,7.81,13.61,8.14,74.61,97.65,Stressed
36.68,28.55,1038.12,60.11,0.09,0.19,0.1,8.9,8.42,8.78,93.09,86.64,Low oxygen state
36.92,31.87,1021.82,44.97,-0.02,0.12,0.12,7.1,6.81,3.44,92.02,89.82,Low oxygen state
37.73,22.13,1007.72,55.9,0.08,0.16,0.0,3.73,11.74,2.95,107.71,98.15,Dehydrated
36.76,25.57,1014.42,75.2,0.16,0.12,0.13,6.0,10.78,11.66,96.2,97.53,Stressed
37.03,23.98,1027.93,33.27,0.09,0.06,0.06,8.87,11.84,14.57,79.82,96.9,Normal
36.72,22.68,1014.38,74.11,0.03,0.05,0.09,10.55,13.93,5.54,100.48,92.64,Low oxygen state
39.07,23.95,1015.01,56.17,0.03,0.12,0.1,1.92,15.82,6.33,92.04,97.29,Possible fever
38.35,36.16,1010.39,44.53,0.13,0.08,0.05,8.91,4.38,13.25,97.24,97.94,Possible fever
36.61,28.47,1009.4,52.56,0.05,0.04,0.15,15.81,6.16,2.77,63.07,95.32,Fatigued
38.77,22.38,1001.58,74.85,0.09,0.03,0.09,16.35,6.46,5.28,67.4,96.19,Possible fever
38.63,28.12,1027.12,78.36,0.08,0.08,0.05,12.12,20.31,4.66,94.55,98.03,Possible fever
36.52,26.82,1015.86,79.4,0.12,0.07,0.11,7.38,3.71,12.42,108.32,86.28,Low oxygen state
37.02,24.69,992.7,67.44,0.08,0.15,0.13,5.8,7.17,7.95,69.27,94.76,Normal
37.38,22.97,1010.76,73.32,0.13,0.08,0.13,8.41,6.62,12.35,57.02,97.8,Normal
38.26,30.05,1010.59,63.54,1.31,0.91,2.6,12.45,13.17,15.55,140.67,95.2,Overexertion
37.19,38.28,1018.69,61.75,0.04,-0.0,0.07,12.7,14.42,15.02,73.41,91.79,Fatigued
38.27,24.75,1013.83,79.77,0.06,0.12,0.14,14.51,11.07,13.67,95.7,98.05,Possible fever
37.15,27.62,1021.76,36.88,0.19,0.1,0.07,10.14,7.41,11.21,99.38,84.05,Low oxygen state
38.78,27.12,1014.23,67.18,0.14,0.1,0.02,8.77,5.78,20.85,117.91,98.64,Possible fever
38.98,15.41,998.5,53.71,0.09,0.12,-0.03,2.33,21.48,7.47,118.64,96.53,Possible fever
37.13,29.34,1014.04,73.71,0.24,0.12,0.09,6.1,9.03,5.57,65.38,97.48,Normal
36.15,22.09,1021.35,63.73,0.14,0.1,0.08,4.38,12.9,11.74,93.25,92.21,Low oxygen state
37.8,23.06,1011.69,34.01,0.14,0.09,0.06,-0.76,6.4,8.94,100.77,98.61,Dehydrated
38.96,29.05,1029.87,71.45,1.91,2.43,3.06,10.03,12.26,4.63,166.34,92.61,Overexertion
39.22,22.53,1010.34,69.92,0.16,0.12,0.14,19.2,6.27,5.28,97.89,97.86,Possible fever
38.37,25.98,1014.29,68.1,0.86,2.73,2.81,-1.96,3.67,10.22,156.91,95.65,Overexertion
37.09,27.93,1018.46,49.21,0.07,0.1,0.11,5.95,12.12,7.63,82.92,95.77,Normal
36.8,25.63,990.13,52.21,0.06,0.03,0.05,9.82,7.93,15.35,60.09,94.23,Fatigued
36.92,28.31,1017.94,47.36,0.09,0.16,0.05,5.63,3.69,5.67,107.87,83.71,Low oxygen state
36.9,26.56,1013.85,65.54,0.1,0.03,-0.01,15.33,6.83,18.59,59.49,96.5,Fatigued
39.13,27.74,995.27,44.29,0.08,0.13,0.08,11.89,9.85,15.63,101.4,97.27,Possible fever
37.88,34.4,1016.82,53.82,1.73,1.91,3.01,14.78,20.55,4.16,139.54,91.28,Overexertion
37.39,24.58,1007.64,30.72,0.2,0.19,0.11,15.73,7.34,5.53,105.28,97.95,Stressed
36.93,30.35,994.44,61.6,0.12,0.13,0.09,5.64,5.2,14.88,113.06,94.9,Low oxygen state
36.81,24.45,1003.02,44.05,0.09,0.17,0.1,9.1,10.41,9.19,114.95,84.95,Low oxygen state
36.74,27.32,1023.9,71.07,0.03,0.11,0.17,7.61,12.99,5.75,114.82,96.21,Low oxygen state
37.04,19.15,1006.05,61.48,0.11,0.15,0.22,11.96,7.46,9.87,90.09,97.48,Stressed
37.72,32.29,1014.51,77.15,2.63,2.82,3.02,10.75,15.35,10.95,122.41,93.22,Overexertion
36.96,28.7,1017.08,55.02,0.1,0.05,0.15,11.02,8.58,7.81,63.47,97.19,Normal
36.76,32.67,1009.75,66.52,0.16,0.13,0.11,3.37,18.11,6.89,62.03,96.94,Normal
38.82,36.21,1003.99,74.51,0.14,0.12,0.05,5.65,15.63,4.05,86.22,95.45,Possible fever
36.38,31.3,1010.24,43.33,0.05,0.11,0.05,13.94,10.88,10.41,74.12,97.59,Normal
36.96,28.96,1022.81,55.9,0.11,0.15,0.06,10.6,17.74,8.81,90.13,85.03,Low oxygen state
36.36,25.64,1009.02,74.97,0.03,0.12,0.06,10.9,2.24,13.94,61.87,94.22,Fatigued
38.06,29.97,1027.13,37.35,0.09,0.07,0.07,7.01,11.69,5.03,104.98,97.05,Dehydrated
38.38,31.87,996.11,68.05,2.4,2.58,2.79,15.57,15.57,9.98,145.61,90.38,Overexertion
37.97,28.95,1006.38,79.06,2.52,2.9,2.44,12.31,20.12,3.18,170.97,90.51,Overexertion
37.54,31.02,1021.82,66.44,0.12,0.17,0.12,8.43,10.0,3.75,95.48,96.04,Dehydrated
36.54,19.48,1008.77,61.1,0.1,0.13,-0.05,20.0,6.34,11.21,77.07,96.78,Normal
36.92,27.05,997.6,59.0,0.04,0.06,0.07,2.37,10.16,11.07,124.41,95.93,Low oxygen state
36.83,25.85,1013.86,61.8,0.05,0.08,0.03,11.07,5.7,4.85,51.57,92.6,Fatigued
37.93,22.56,1002.14,41.52,0.07,0.1,0.12,7.56,6.62,10.17,112.17,97.32,Dehydrated
36.98,28.71,1000.1,67.69,0.05,0.08,0.06,13.53,6.24,4.14,84.02,80.8,Low oxygen state
36.84,21.97,1011.19,39.01,0.22,0.12,0.12,4.7,13.57,14.8,89.99,96.71,Stressed
37.96,35.22,1012.4,41.75,0.1,-0.02,0.1,12.27,7.33,6.44,104.55,97.63,Dehydrated
36.97,33.27,1027.94,45.83,0.01,0.07,0.05,9.76,10.94,11.15,88.32,98.93,Normal
37.82,30.04,1002.71,61.06,0.03,0.16,0.11,8.15,10.72,1.12,107.18,97.68,Possible fever
38.84,31.5,1021.55,35.81,0.07,0.09,0.16,4.2,10.82,9.8,101.61,97.6,Possible fever
36.71,36.51,1001.92,43.21,0.02,0.03,0.1,17.57,6.93,6.79,104.0,81.36,Low oxygen state
36.37,35.49,1025.48,43.37,0.07,0.21,0.26,10.93,10.99,5.94,104.74,95.71,Stressed
36.31,27.29,999.18,76.81,0.05,0.04,0.13,12.99,16.5,7.48,71.36,96.87,Normal
37.26,29.13,1009.3,75.73,0.16,0.08,0.13,4.9,9.88,9.13,74.58,96.94,Normal
37.21,30.56,1012.26,30.79,0.13,0.2,0.13,5.21,13.25,15.3,97.58,94.18,Dehydrated
38.84,28.77,1030.12,33.42,0.12,0.12,0.03,11.03,17.09,13.41,92.91,98.0,Possible fever
39.2,28.57,1009.04,55.0,0.17,0.12,0.14,9.99,16.36,4.23,99.66,96.58,Possible fever
37.2,26.61,1010.2,33.52,0.1,0.07,0.08,17.22,3.72,14.07,92.53,90.17,Low oxygen state
37.64,30.85,1018.61,61.61,1.95,1.98,1.74,14.29,5.67,7.54,172.13,92.05,Overexertion
37.11,23.06,1018.35,64.7,0.11,0.11,0.08,17.95,4.48,11.8,73.34,97.85,Normal
38.65,19.09,1018.73,36.07,3.78,2.32,2.26,11.87,0.81,5.06,166.97,91.2,Overexertion
38.1,23.66,1018.35,55.01,2.88,4.05,2.68,0.6,19.35,11.95,180.3,91.17,Overexertion
36.53,27.75,1039.21,61.42,0.13,0.14,0.09,10.19,2.76,8.5,91.84,83.55,Low oxygen state
37.05,33.22,1044.22,71.03,0.09,0.18,0.09,11.68,8.06,6.63,77.32,98.07,Normal
36.77,25.2,1011.06,70.19,0.07,0.09,0.15,12.48,10.22,10.96,78.19,96.82,Normal
38.04,27.35,1009.05,76.46,2.23,3.24,1.97,14.06,2.74,3.01,182.2,93.5,Overexertion
38.0,35.53,1000.69,49.54,2.02,1.62,3.89,15.63,13.87,6.0,186.15,94.06,Overexertion
36.92,26.15,998.94,75.39,0.19,0.09,0.06,6.74,4.55,6.08,105.37,82.51,Low oxygen state
36.49,31.64,1014.6,71.3,-0.0,0.1,0.13,18.15,22.1,16.6,71.92,95.18,Normal
36.34,23.25,1027.35,51.62,0.02,0.13,0.15,12.69,13.56,13.8,86.22,89.4,Low oxygen state
38.66,23.94,1016.69,79.88,0.09,0.08,0.13,6.46,10.63,15.81,84.83,97.67,Possible fever
36.99,26.98,1013.05,76.92,0.09,0.07,0.11,12.42,6.15,8.0,82.49,96.96,Dehydrated
36.84,17.5,1019.26,59.66,0.03,0.09,0.09,12.5,3.0,11.84,65.31,93.9,Fatigued
36.64,26.05,1013.93,52.65,0.14,0.06,0.28,13.75,13.0,3.32,88.59,97.18,Stressed
38.46,19.3,1024.13,32.6,0.04,0.08,0.02,12.69,10.76,13.83,90.48,100.0,Possible fever
39.3,24.82,1021.66,60.95,0.05,0.1,0.23,16.06,7.48,6.98,91.46,97.81,Possible fever
36.54,27.69,1017.79,43.92,0.09,0.02,0.08,8.58,8.72,8.79,117.62,85.55,Low oxygen state
36.65,23.37,1012.69,45.12,0.04,0.08,0.11,12.98,7.21,7.94,121.22,84.61,Low oxygen state
36.88,23.02,1022.83,48.19,0.05,0.04,0.09,15.18,9.8,10.95,91.9,85.84,Low oxygen state
37.14,27.63,979.75,71.91,0.22,0.12,0.03,4.08,7.5,18.51,77.37,96.59,Stressed
37.69,23.61,1022.62,36.58,0.1,0.17,0.1,18.64,8.68,15.01,97.83,94.37,Dehydrated
36.62,26.85,1024.8,69.8,0.02,0.03,0.03,16.09,7.43,6.41,61.16,94.78,Fatigued
37.56,19.67,1006.64,41.85,0.2,0.16,0.18,3.4,6.96,11.93,83.86,97.67,Stressed
37.21,25.0,1001.9,55.53,0.1,0.04,0.2,2.99,15.86,8.17,107.58,91.07,Low oxygen state
36.67,28.43,1021.81,39.99,0.16,0.1,0.07,7.86,-0.23,10.66,113.67,95.57,Stressed
36.98,27.03,1012.36,78.07,0.16,0.2,0.05,16.48,6.41,13.73,101.06,98.85,Stressed
36.62,25.58,992.39,51.78,0.08,0.04,0.03,8.74,13.25,19.71,63.47,93.0,Fatigued
37.79,28.05,1033.76,67.56,0.04,0.05,0.11,9.72,12.42,1.75,96.28,96.53,Dehydrated
37.26,23.97,1023.12,44.94,0.05,0.05,0.08,5.16,8.08,14.77,59.13,92.58,Fatigued
38.1,32.56,1014.06,47.2,0.01,0.11,0.0,9.66,3.16,19.94,108.52,96.43,Dehydrated
37.37,30.21,1014.91,64.99,0.22,0.17,0.18,6.34,8.76,2.88,98.19,98.39,Stressed
36.7,20.4,1010.66,60.7,0.1,0.12,0.08,9.27,10.65,8.49,86.43,89.94,Low oxygen state
38.63,26.8,1000.1,36.98,0.12,0.1,0.07,11.41,8.55,13.49,109.94,96.51,Possible fever
36.93,30.27,1003.18,78.56,0.11,0.12,0.07,10.17,-2.44,6.71,110.99,94.89,Low oxygen state
36.58,28.84,1011.84,51.91,0.1,0.1,0.09,3.88,13.38,12.05,124.15,86.83,Low oxygen state
39.38,28.77,1023.18,41.57,0.09,0.07,0.08,8.25,4.0,8.54,95.18,98.29,Possible fever
37.07,27.56,1008.11,52.2,0.07,0.02,0.05,7.49,8.68,8.9,66.03,96.95,Normal
38.84,27.72,1025.19,55.7,0.16,0.11,0.0,4.41,9.07,11.55,77.35,96.75,Possible fever
37.18,34.43,1009.9,60.97,0.04,-0.02,0.01,12.26,8.17,8.81,54.19,96.23,Fatigued
36.41,29.26,1011.06,35.01,0.06,0.04,0.03,8.5,3.95,11.94,55.47,92.3,Fatigued
36.76,35.47,1013.41,43.76,0.08,0.22,0.13,9.55,9.81,1.34,100.32,95.09,Stressed
38.92,22.96,1003.27,46.6,0.07,0.05,0.08,8.92,10.71,7.48,98.7,96.69,Possible fever
36.22,27.15,1004.94,50.42,-0.02,0.11,0.04,13.04,13.57,9.14,100.32,82.62,Low oxygen state
38.43,25.81,1016.55,57.28,0.07,0.14,0.04,4.53,14.31,11.7,104.68,97.93,Dehydrated
37.56,18.6,1020.13,72.53,0.19,0.08,0.14,21.41,6.91,2.32,104.28,97.89,Possible fever
38.21,31.31,1019.38,60.12,2.14,2.31,1.8,-6.2,12.76,4.46,145.6,92.31,Overexertion
37.01,24.53,1016.67,50.57,0.04,0.04,0.14,4.18,13.05,11.85,119.34,83.06,Low oxygen state
37.52,29.93,1025.82,38.3,0.16,0.15,0.21,9.36,7.9,16.29,99.43,96.9,Dehydrated
38.58,29.22,1014.11,63.82,0.09,0.05,0.09,5.01,15.18,19.51,98.68,97.63,Possible fever
36.84,29.01,1010.59,76.21,0.07,0.04,0.01,9.64,13.16,11.45,59.5,89.22,Fatigued
37.81,17.24,1021.76,60.36,0.16,0.11,0.1,12.77,5.69,10.15,89.05,98.36,Possible fever
38.74,17.97,1015.71,64.73,1.96,1.95,2.74,8.69,0.02,9.39,181.14,89.84,Overexertion
37.81,26.52,1010.6,78.17,3.29,4.12,2.64,1.31,15.23,11.75,158.92,91.19,Overexertion
38.89,30.06,1006.01,77.08,2.65,2.14,3.11,5.17,12.13,10.19,183.25,93.19,Overexertion
36.9,27.29,1026.4,33.84,0.14,-0.01,0.07,15.21,0.87,14.72,60.48,98.09,Normal
38.57,28.89,1017.0,37.57,0.02,0.01,0.03,6.45,19.77,7.37,119.45,95.85,Possible fever
36.64,26.35,1007.86,44.77,0.09,0.1,0.18,14.54,6.15,8.69,109.01,95.96,Low oxygen state
38.51,18.12,998.67,45.75,0.15,0.08,0.15,12.44,21.81,8.36,81.08,97.16,Possible fever
38.04,34.9,1012.17,77.53,3.89,1.92,2.11,12.66,10.93,12.36,146.5,92.71,Overexertion
36.75,19.33,1012.43,52.27,0.05,0.04,0.05,3.13,8.65,10.13,64.4,93.83,Fatigued
36.41,23.98,1009.12,40.11,0.07,0.11,0.18,13.48,4.29,9.44,72.34,97.15,Normal
38.41,25.42,1009.78,75.88,2.54,3.15,1.13,3.04,15.28,23.75,172.17,91.87,Overexertion
38.14,21.98,1024.48,50.68,0.14,0.05,0.12,10.79,8.16,14.85,104.53,97.65,Possible fever
37.46,20.98,1039.45,76.12,0.05,0.16,0.03,7.17,13.1,15.2,98.17,97.51,Dehydrated
37.1,32.13,1005.29,56.09,0.04,0.22,0.09,13.38,17.22,6.98,73.4,98.19,Normal
37.39,25.09,1001.26,63.46,0.16,-0.01,0.13,-2.47,5.17,18.15,73.73,97.42,Dehydrated
39.11,27.82,1002.58,67.24,0.04,0.07,0.05,7.32,13.58,7.02,82.01,97.74,Possible fever
36.69,31.2,1014.23,38.72,0.07,0.02,0.12,22.56,0.8,9.84,104.26,84.44,Low oxygen state
36.53,32.09,1024.77,60.58,0.08,0.09,0.08,4.72,9.92,1.46,100.81,96.64,Stressed
37.62,32.58,1020.49,65.74,0.2,0.03,0.07,10.71,8.06,12.0,97.46,98.27,Dehydrated
37.2,26.18,1010.23,41.03,0.15,0.2,0.14,12.4,10.99,13.25,129.6,89.8,Low oxygen state
36.8,27.63,1017.86,61.6,0.25,0.12,0.12,3.03,7.78,5.48,85.23,97.14,Stressed
37.0,29.33,1009.61,77.81,0.07,0.13,0.07,8.82,13.72,12.11,103.7,95.46,Dehydrated
36.45,30.18,1010.6,34.88,0.08,0.23,0.14,10.42,11.56,12.04,67.86,97.46,Normal
38.89,29.7,1025.03,70.6,0.1,0.05,0.1,14.95,6.92,9.36,93.58,99.22,Possible fever
36.9,30.52,1008.19,63.83,-0.0,0.07,0.09,15.03,9.69,9.79,52.66,96.54,Fatigued
36.77,26.9,1003.72,74.32,0.02,0.02,0.05,17.03,11.81,13.04,66.39,96.18,Fatigued
36.89,44.22,1036.08,36.92,0.03,0.03,0.11,-0.66,15.06,9.21,98.26,88.86,Low oxygen state
38.57,23.86,992.82,59.8,0.13,0.12,0.15,4.0,-1.58,14.29,94.97,96.38,Possible fever
38.04,29.87,1019.3,41.59,0.13,0.24,0.14,7.19,14.15,14.5,89.64,99.65,Dehydrated
36.43,24.97,1024.38,73.3,0.14,0.09,0.08,7.13,15.47,19.52,108.33,88.11,Low oxygen state
