body_temp,ambient_temp,pressure_hpa,humidity_pct,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,heart_rate_bpm,spo2_pct,Resting,Light activity,Moderate activity,High activity,Sleeping,Walking,Running,Sedentary,Normal,Stressed,Fatigued,Dehydrated,Possible fever,Low oxygen state,Overexertion,Early illness indication,Hot environment,Cold environment,Humid environment,Low-pressure environment,Healthy,Slight abnormality,Warning,Critical
37.15,33.39,1039.94,37.05,-0.33,-2.05,-1.54,-0.96,-128.11,261.35,103.98,85.93,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
37.55,15.54,953.86,66.2,-1.54,-2.01,2.99,-120.14,271.26,21.1,191.55,83.4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.03,37.54,988.75,33.21,-2.94,-1.23,-2.5,351.03,197.67,446.43,182.7,98.38,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
36.4,21.21,963.49,13.64,2.72,2.22,1.45,300.06,233.47,435.59,146.99,86.48,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
37.81,31.7,1040.87,81.43,-2.29,1.51,1.32,470.75,108.89,50.97,48.47,74.77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38.17,14.01,986.01,99.63,-1.95,-2.13,1.39,-405.5,-400.44,-337.54,81.87,85.01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
35.71,21.25,971.33,96.08,-2.77,2.62,1.02,268.43,458.61,278.89,118.47,82.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38.23,32.71,1017.65,89.18,-0.21,1.3,-2.53,387.67,-295.65,240.87,111.97,92.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
36.27,19.6,1004.32,77.27,-0.55,0.09,-1.05,-55.38,-497.25,281.48,69.71,90.62,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35.79,40.81,1031.69,24.58,1.89,-1.15,-2.37,-65.48,395.29,383.38,56.52,79.77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
39.77,33.14,1025.31,24.02,0.33,1.88,0.95,-329.39,371.82,101.22,80.66,75.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
39.85,40.46,1047.47,23.47,0.49,2.62,-1.65,279.88,474.58,-369.98,164.69,86.07,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39.14,23.84,959.05,51.37,1.74,-2.51,0.3,-439.25,-113.01,345.23,48.54,77.69,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.87,11.19,958.03,52.84,0.5,2.67,2.94,-486.8,458.84,-171.16,103.81,61.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35.94,30.16,1040.74,61.98,0.39,2.75,-2.48,113.24,320.63,-326.83,105.67,94.26,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.58,21.87,1045.57,30.4,2.57,2.98,2.56,-290.45,193.07,400.27,144.68,69.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37.48,25.69,990.66,13.57,-0.38,-1.53,-0.26,68.47,-464.97,179.58,46.74,95.95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.05,33.84,995.59,19.07,0.81,-0.13,0.35,-249.91,180.57,348.75,88.46,75.74,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
37.73,34.52,986.87,16.25,-0.69,-1.69,1.82,-256.29,119.09,-102.34,97.54,60.19,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
35.65,10.96,1027.77,81.35,0.9,0.24,1.62,-369.52,-340.71,-76.29,169.77,88.39,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
39.59,36.93,1027.08,22.12,-2.94,1.56,-2.81,-104.65,188.47,488.89,98.74,87.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
36.66,27.27,972.04,77.54,1.36,0.96,0.34,-380.93,2.36,-476.4,164.55,89.26,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
38.48,29.48,988.39,19.64,1.69,-0.44,2.77,395.99,222.8,344.87,149.99,96.8,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36.9,20.43,971.24,54.63,2.26,1.97,-0.1,-234.06,-77.52,-307.48,146.12,78.19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
37.84,24.73,954.66,35.91,-0.0,1.23,2.49,291.22,260.62,346.08,98.4,73.55,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37.96,34.86,955.61,68.63,-1.28,-2.5,-1.72,63.27,77.13,463.87,75.04,66.69,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
36.33,37.18,964.68,23.14,1.38,2.71,1.21,-36.04,448.75,-269.47,147.01,89.13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39.86,23.55,952.99,62.98,2.69,2.31,0.52,179.56,-26.09,-239.22,187.85,94.7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.99,34.19,992.32,61.44,1.62,2.14,-2.21,234.89,-339.55,-191.86,99.83,91.34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.73,19.03,956.4,46.27,2.47,0.21,-2.1,-82.89,331.34,362.37,71.88,75.34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39.53,39.12,1034.74,53.42,-2.28,-0.3,1.2,146.64,267.33,-139.3,134.15,91.17,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
38.19,31.34,1021.21,23.23,2.55,0.37,-2.29,-383.61,-188.06,-73.52,100.51,83.28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
39.65,37.13,1028.36,82.95,1.26,2.8,0.83,453.82,-462.41,-22.33,62.89,71.9,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
35.9,26.7,1011.75,64.43,1.93,1.5,2.33,-131.65,158.8,142.2,162.69,90.41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36.38,18.02,1016.39,20.75,-0.47,-2.56,-1.14,-270.74,-207.39,-45.74,99.52,62.78,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
35.7,25.02,961.34,92.58,0.42,0.64,-1.57,239.58,-24.58,-359.55,129.06,87.13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36.96,23.35,955.82,66.04,0.68,-2.12,0.23,175.06,-422.29,-212.18,180.54,84.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
37.25,21.65,1048.92,25.51,0.11,0.28,2.57,-135.05,-252.23,-318.35,106.52,83.47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36.72,17.43,987.29,30.18,-2.42,-0.21,-2.56,-114.8,-207.46,-187.79,123.55,95.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39.23,36.57,955.13,28.37,-1.61,0.86,2.26,-91.55,-398.8,157.15,49.01,77.46,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
37.11,13.02,965.96,30.28,-2.16,-1.44,-2.08,54.25,-215.09,-38.39,104.06,86.7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
36.76,41.06,1037.42,28.88,1.97,-1.75,-0.48,-168.64,-242.55,-151.96,192.44,90.35,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37.94,16.13,970.58,77.14,-0.76,1.96,1.93,41.89,-187.45,204.0,126.32,64.61,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
36.13,44.3,996.7,63.23,-1.27,2.48,0.39,155.96,481.97,-139.21,142.94,91.25,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39.11,44.6,1016.75,31.0,-1.69,-1.69,-1.35,255.03,139.12,323.58,116.58,83.08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
35.84,23.94,1046.59,93.88,1.21,-1.16,-2.26,-431.08,180.78,266.41,117.19,83.36,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
39.94,44.57,951.41,11.05,0.12,-2.95,0.79,285.22,-35.93,-146.0,49.65,91.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38.98,40.42,998.76,71.7,0.55,1.01,1.9,207.55,218.4,-16.75,88.98,90.84,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
36.39,12.89,1049.6,58.9,1.54,2.81,-0.12,-143.38,499.19,424.38,133.99,94.61,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.52,43.16,962.17,57.83,2.82,-0.58,1.15,133.03,308.78,-209.44,50.93,78.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39.17,11.49,962.37,59.62,1.45,0.32,0.37,392.8,54.85,485.19,187.6,79.56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.68,16.37,958.7,53.8,2.83,-0.83,1.31,79.36,-85.64,195.25,182.5,72.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.78,30.46,1000.78,95.18,1.19,0.77,2.52,-485.98,97.88,158.86,60.7,69.57,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
38.97,12.83,984.84,65.69,1.06,-0.22,-0.75,-80.06,-158.95,-152.43,147.35,71.54,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
35.83,15.66,1021.63,51.35,-2.13,2.07,1.39,-452.02,11.97,-489.94,129.75,89.81,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
37.11,43.37,1007.13,87.4,-2.44,2.77,2.74,-346.3,-377.89,-180.9,63.46,71.98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
36.02,44.81,1008.08,90.07,-2.86,-1.22,-1.65,-1.17,24.45,-466.64,124.45,87.31,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.38,37.93,1001.11,79.7,1.16,0.23,2.52,-497.81,445.42,109.05,116.15,66.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
38.3,28.03,1049.21,61.64,0.89,0.48,-0.5,246.81,425.43,-204.42,138.88,73.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36.99,41.51,1003.9,13.84,0.79,-2.43,-2.68,-299.56,-400.96,289.18,155.25,75.36,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.79,13.92,957.24,91.91,0.75,-1.79,-1.68,-253.24,92.33,-238.61,85.47,91.04,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36.9,43.0,982.22,83.58,1.13,2.03,2.33,100.33,425.94,4.67,171.59,78.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
36.96,22.3,1028.07,94.02,2.01,-0.42,0.33,-41.69,-152.54,-5.33,47.15,69.58,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
38.78,40.15,1012.85,22.11,1.36,-2.55,2.51,-488.11,-66.55,-481.12,133.17,64.64,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.37,33.39,1018.39,96.5,0.6,0.72,0.22,17.31,67.87,259.43,138.73,81.11,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
39.49,43.61,1042.18,96.91,-1.69,-0.48,-2.98,-64.78,231.82,238.47,122.25,89.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.62,40.26,994.38,50.8,1.6,2.31,1.17,37.09,302.84,420.88,118.34,86.81,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36.04,41.08,951.95,16.69,-1.5,-0.85,-0.31,-275.26,-406.52,-260.14,87.51,87.56,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
38.71,32.11,1049.01,65.97,1.08,1.1,-2.53,473.4,128.51,276.08,103.93,87.54,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
38.92,39.16,995.46,66.36,-2.19,-1.62,-1.41,66.62,-82.64,-460.99,124.14,76.84,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.03,36.5,959.76,57.75,0.06,2.51,-2.11,372.52,426.14,84.95,110.63,80.09,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38.97,15.66,1004.86,39.53,0.8,2.73,-0.3,376.38,-325.47,444.96,91.66,97.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37.72,32.7,1009.02,16.46,1.89,-0.15,-1.19,-276.22,431.84,-184.37,194.28,94.24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.85,15.19,1006.43,60.61,1.22,-1.37,-1.74,11.21,5.41,-298.42,97.5,99.47,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
37.42,40.43,1046.49,38.28,1.84,-2.83,0.89,164.68,-409.42,-406.94,55.22,88.86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35.61,12.31,981.96,18.97,2.13,0.37,2.67,271.67,330.05,-72.36,108.7,79.26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35.99,44.55,953.45,27.13,2.26,0.99,2.77,278.03,117.26,240.79,172.72,99.28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.64,24.02,1041.98,81.15,2.29,0.55,-0.77,469.66,156.05,133.78,134.91,64.67,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.36,15.97,969.12,82.58,-1.42,0.81,-1.41,80.49,-177.01,-188.0,149.51,97.58,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
36.91,42.75,1024.94,79.09,1.85,-2.08,0.75,-402.96,220.92,133.84,115.36,78.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37.79,11.59,970.4,16.82,-2.9,-1.57,-0.82,477.06,-496.58,84.94,101.33,88.21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.58,26.45,1032.9,19.95,2.62,1.82,1.84,470.57,492.68,139.57,144.27,77.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36.62,36.96,1040.64,30.99,-1.88,-2.37,-0.65,224.1,437.78,114.05,122.19,62.01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.35,21.09,960.54,98.14,2.3,1.2,0.43,384.62,22.19,444.95,199.19,70.32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38.9,28.51,964.73,34.74,1.83,1.98,2.93,376.11,-459.25,318.65,57.35,76.19,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36.53,34.51,1042.53,94.13,-0.66,-0.74,-2.21,251.01,307.48,-96.81,126.49,95.07,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35.85,43.32,1027.07,69.33,2.78,-2.91,-1.08,407.81,245.63,209.84,77.09,85.88,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36.8,13.59,953.89,12.46,-2.44,1.07,-2.56,-206.11,228.47,453.97,186.16,63.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36.23,15.5,968.22,53.87,-1.25,-2.03,2.74,-244.16,-457.52,203.98,197.93,83.48,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
39.68,27.81,991.21,85.25,-1.48,-2.24,-0.06,406.03,-426.04,-192.18,40.62,76.76,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39.14,24.65,1036.42,15.72,-2.95,-0.57,-1.05,-365.22,317.6,-121.13,169.65,67.12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.35,24.38,965.11,64.89,-2.01,1.79,2.57,-339.47,398.05,204.06,155.09,94.2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39.42,20.39,1022.41,38.84,1.76,0.2,-0.37,-112.33,284.27,-284.01,184.21,77.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
39.12,29.62,958.37,28.02,1.99,-0.32,-2.97,-293.5,-131.12,-0.31,174.66,96.37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36.34,40.92,996.72,57.56,1.47,0.77,0.37,-342.22,-389.27,-213.86,196.63,62.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
39.52,15.63,1022.9,81.64,0.29,2.53,-2.47,-13.1,95.03,338.92,46.97,93.47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37.93,17.54,956.47,80.07,0.79,-0.24,2.91,-486.12,426.42,293.43,165.9,98.55,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39.13,33.48,970.42,25.68,0.49,-2.49,2.46,16.25,-385.83,350.89,108.74,73.23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.53,11.97,1029.18,41.34,-1.49,-1.34,1.5,367.59,-496.67,-148.88,47.22,70.78,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36.93,33.58,966.35,41.34,-0.69,2.5,0.8,63.53,-440.5,-264.03,163.02,69.09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.0,21.01,1016.75,84.2,1.91,0.19,-2.74,-236.74,107.7,-22.7,60.65,68.1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0
36.53,22.52,1014.22,54.66,-2.44,-1.77,-1.65,-383.49,-218.37,66.11,62.41,78.37,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
37.42,24.19,1002.04,43.77,-2.77,-1.16,-0.47,139.77,-482.79,440.02,74.8,64.36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39.18,22.24,970.17,82.46,1.13,-0.24,1.66,276.27,-370.25,-121.32,96.12,75.75,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39.37,39.44,991.69,90.19,2.03,2.91,-2.16,193.32,-291.75,409.77,159.84,73.15,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35.53,43.11,1012.18,39.14,0.7,-0.42,1.53,-349.57,-386.21,-100.6,100.6,69.42,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
37.8,29.18,1038.17,98.67,1.57,-1.83,0.59,466.75,-499.06,140.1,80.15,79.43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
37.38,30.37,1029.79,58.22,2.86,0.88,-0.05,458.57,-2.68,-272.25,127.17,74.39,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.5,12.47,1010.73,15.57,0.79,-0.16,2.52,379.5,-390.61,-90.61,129.65,72.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36.04,34.96,972.85,42.92,-0.34,1.63,0.97,-314.65,237.55,-17.44,116.73,78.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
37.02,30.44,971.67,58.98,2.96,2.85,-1.37,-405.68,-149.44,-193.91,101.97,81.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
39.74,11.76,1031.39,84.38,0.77,1.47,-0.18,226.89,488.6,393.28,54.35,69.21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.95,16.94,1016.44,73.83,-1.94,1.66,0.95,441.47,-135.98,397.72,178.38,76.63,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
