body_temp,ambient_temp,pressure_hpa,humidity_pct,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,heart_rate_bpm,spo2_pct,activity_label
37.06,16.62,1021.4,71.14,0.07,0.03,0.06,9.77,-2.82,15.71,74.07,97.77,Resting
36.98,23.15,1013.54,56.15,0.12,0.17,0.05,11.49,8.73,16.76,78.71,97.47,Sedentary
36.75,20.08,1005.41,47.67,0.12,0.19,0.15,7.12,5.51,12.46,66.2,95.64,Resting
37.35,25.09,1014.9,50.56,0.18,0.07,0.17,11.29,16.16,11.09,64.14,95.77,Resting
37.25,18.8,1008.5,77.24,0.04,0.07,0.08,10.06,10.85,3.5,73.74,97.31,Sedentary
37.18,35.28,1010.32,71.57,0.07,0.12,0.17,-3.04,6.72,12.97,72.5,93.52,Resting
36.67,37.77,1023.58,30.73,0.73,0.38,1.09,148.7,180.09,122.96,77.41,96.66,Walking
36.39,15.62,1019.46,52.97,1.43,0.59,1.68,135.02,65.14,139.4,99.61,97.97,Walking
36.91,19.4,1020.47,39.09,2.02,1.07,1.02,100.97,87.38,97.64,92.09,96.06,Walking
36.74,23.35,1004.81,46.08,0.05,0.11,0.2,8.1,4.7,10.91,64.67,96.63,Resting
36.64,27.23,997.85,54.23,4.32,2.8,3.46,437.35,769.47,534.35,177.34,95.77,Running
36.51,20.15,1010.73,66.87,0.68,0.58,1.28,106.01,35.57,173.72,97.6,96.13,Walking
36.82,28.17,1008.59,59.34,0.08,0.07,0.17,3.45,0.43,14.71,77.66,96.14,Resting
36.84,38.7,990.22,72.54,0.08,0.05,0.06,7.45,6.7,5.86,50.87,96.79,Sleeping
37.08,27.6,1005.37,39.35,0.02,0.1,0.11,5.48,13.19,1.69,50.56,96.24,Resting
36.44,28.96,1025.42,52.71,1.99,1.45,0.79,215.6,95.82,111.47,114.97,95.27,Walking
36.91,31.26,1017.88,76.92,0.08,0.08,0.06,10.35,6.73,6.72,79.48,96.4,Sedentary
37.11,18.52,1019.08,59.42,0.2,0.13,0.11,13.54,21.04,19.99,60.99,96.73,Resting
36.73,29.09,1015.36,57.18,0.01,0.08,0.06,3.75,6.9,11.81,53.85,97.82,Sleeping
36.87,22.13,1004.83,67.2,0.04,0.06,0.06,8.11,3.47,4.19,50.36,95.91,Sleeping
36.49,32.57,1026.3,50.45,0.11,0.14,0.03,5.28,1.28,5.58,82.0,99.98,Sedentary
36.86,36.07,1013.47,73.61,0.14,0.12,0.11,6.05,12.36,19.41,65.88,96.8,Resting
36.86,21.93,1003.1,76.28,1.22,1.64,0.52,181.18,113.68,102.92,93.74,97.1,Walking
36.3,33.44,985.15,75.92,0.05,0.04,0.06,1.42,5.83,2.85,47.78,95.44,Sleeping
36.72,43.42,1013.01,34.27,0.07,0.11,0.06,13.37,9.43,10.78,66.27,95.89,Resting
36.47,26.9,1002.99,56.38,0.24,0.18,0.1,8.51,6.42,10.55,52.72,98.04,Resting
37.05,26.56,1022.36,50.44,0.14,0.04,0.07,12.45,3.89,13.56,75.17,95.67,Resting
36.69,32.49,1002.42,46.2,0.91,1.48,1.39,174.69,158.33,129.09,97.31,96.72,Walking
36.59,25.99,1020.56,59.51,1.7,0.33,0.5,98.2,158.87,118.76,80.87,95.59,Walking
37.2,35.87,1013.88,64.94,1.01,0.8,1.94,164.12,166.06,124.83,81.42,98.7,Walking
36.31,24.25,1023.29,57.71,0.11,0.15,0.18,15.07,0.8,3.6,68.78,97.55,Resting
36.81,27.29,1010.77,33.41,3.97,3.18,3.35,464.92,415.95,462.38,145.5,97.15,Running
36.27,32.61,1015.84,56.99,0.09,0.04,-0.0,6.6,3.82,0.88,68.32,96.88,Sedentary
37.28,28.72,1007.38,69.97,0.08,-0.0,0.08,1.04,4.32,8.19,44.56,97.71,Sleeping
37.04,30.15,1026.55,61.86,0.09,0.06,0.08,5.86,0.19,6.88,76.17,97.93,Sedentary
36.62,28.81,1019.82,73.1,1.55,0.64,1.4,78.3,171.12,109.56,90.35,96.96,Walking
37.41,27.85,986.53,66.89,0.04,0.08,0.06,4.94,6.92,4.48,53.65,97.49,Sleeping
36.63,29.41,995.41,66.88,2.77,1.92,2.27,279.5,307.86,395.84,141.6,95.32,Running
36.51,34.83,1006.51,77.82,0.06,0.05,0.06,7.78,4.71,5.16,54.01,96.72,Sleeping
36.7,17.75,1007.99,31.84,0.13,0.08,0.02,10.53,17.82,8.43,73.09,96.87,Sedentary
36.55,31.26,1005.95,70.79,0.22,0.15,0.06,10.82,8.19,12.92,59.37,97.47,Resting
37.13,28.8,1022.75,42.63,0.05,0.12,0.08,15.46,11.28,12.41,70.27,96.09,Sedentary
36.87,35.24,1021.2,62.92,0.08,0.09,0.09,6.95,4.5,5.44,52.54,97.31,Sleeping
36.55,29.31,1017.0,55.37,0.1,0.03,0.14,13.23,20.82,8.46,66.53,97.42,Resting
37.16,24.48,1018.57,49.61,0.07,0.12,0.12,6.98,8.83,19.23,59.37,96.76,Resting
37.37,24.99,1007.74,31.23,1.17,0.98,1.95,62.08,32.05,137.6,110.66,97.37,Walking
37.05,30.42,1008.16,68.64,0.01,0.06,0.13,4.28,4.88,10.56,67.87,96.51,Sedentary
37.01,29.94,1024.17,78.41,0.09,0.14,0.14,12.3,13.04,5.28,67.16,96.92,Resting
36.75,19.28,1029.38,30.06,0.09,0.02,0.06,6.14,2.69,12.62,79.01,95.66,Sedentary
37.39,30.62,1001.22,64.02,0.08,0.12,0.13,9.03,9.88,5.52,71.97,96.88,Sedentary
37.52,38.79,1010.79,65.12,3.17,1.37,2.8,318.16,279.81,366.27,150.54,96.98,Running
36.99,31.13,1014.33,36.21,0.14,0.17,0.18,11.86,9.14,10.73,66.68,97.35,Resting
37.11,21.81,1014.15,34.01,2.84,4.05,3.32,661.9,355.66,424.55,169.0,96.46,Running
36.64,27.34,1034.42,57.77,0.11,0.03,0.1,5.99,8.85,12.36,64.4,96.98,Sedentary
36.66,31.2,997.38,47.3,0.09,0.19,0.02,7.14,14.0,10.9,81.01,98.57,Resting
36.42,29.41,1016.96,65.79,0.07,0.01,0.08,7.37,12.25,-0.94,71.94,96.37,Sedentary
36.88,27.1,1023.47,45.61,0.1,0.1,0.02,17.73,6.17,6.2,62.64,96.29,Resting
37.1,29.07,1007.1,37.29,0.04,0.04,0.02,1.82,16.03,17.47,82.52,98.95,Resting
37.13,39.83,1007.84,57.91,2.01,3.5,3.15,292.65,294.27,593.92,150.88,96.84,Running
36.74,24.44,1018.03,56.09,-0.0,0.06,0.13,13.0,5.95,7.71,68.42,95.46,Resting
36.77,16.89,1014.84,42.21,0.08,0.11,0.13,10.71,12.53,14.95,66.33,96.97,Resting
37.08,31.42,1016.29,73.54,0.17,0.13,0.12,1.58,5.33,15.23,67.72,96.94,Resting
36.69,41.27,998.31,73.45,0.03,0.16,0.17,17.93,-0.1,15.36,57.81,97.75,Resting
37.13,20.91,1012.65,59.35,0.02,0.05,0.1,6.87,5.18,5.27,52.26,96.7,Sleeping
36.08,27.42,1021.55,57.47,4.06,3.07,3.73,380.83,257.6,583.69,169.59,96.47,Running
36.38,33.64,1003.5,42.84,0.76,1.27,1.76,156.73,57.18,80.41,85.11,96.97,Walking
36.83,30.86,1016.29,36.16,2.54,2.28,2.55,463.4,382.74,495.55,157.9,98.31,Running
36.12,21.65,1017.13,69.69,1.39,1.5,1.1,132.67,180.39,85.71,84.41,99.55,Walking
36.93,24.72,1007.32,70.48,0.74,1.1,1.4,105.58,218.72,44.31,99.32,97.89,Walking
36.52,16.52,1035.11,41.6,0.53,1.33,1.2,136.58,89.11,62.58,109.59,97.96,Walking
36.97,34.19,1001.99,43.71,0.03,0.04,0.03,5.1,3.13,7.1,46.44,98.63,Sleeping
36.83,32.17,1020.33,52.84,0.03,0.1,0.11,14.34,1.02,16.56,53.0,95.9,Resting
36.77,23.5,1026.14,67.81,0.07,0.03,0.1,13.9,10.38,16.14,55.28,96.1,Resting
36.87,32.88,1037.66,37.97,0.01,0.0,0.01,5.18,0.17,3.35,46.59,97.16,Sleeping
36.92,24.96,1015.51,75.97,0.08,0.12,0.08,15.83,12.84,13.0,64.99,99.49,Resting
36.73,33.99,1014.2,58.76,0.07,0.04,0.09,9.15,7.54,10.04,58.19,97.71,Sedentary
36.95,26.72,1013.64,51.62,0.05,0.09,0.04,13.0,17.65,16.09,49.2,97.05,Resting
37.25,36.09,1012.01,60.97,0.01,0.06,0.14,12.74,5.39,17.61,60.21,98.64,Resting
36.58,20.1,1022.51,38.69,0.08,0.07,0.1,1.82,6.14,-1.52,52.13,96.3,Sleeping
36.78,40.36,987.09,30.96,0.05,0.08,0.04,4.02,7.88,0.16,75.18,96.42,Sedentary
36.59,30.79,1009.1,36.36,3.87,3.43,3.81,438.53,459.35,386.0,161.08,96.54,Running
36.85,23.48,1008.93,72.04,0.07,0.14,0.11,16.51,17.81,10.16,82.26,95.4,Resting
36.62,21.54,1020.93,31.9,1.15,1.24,1.2,98.3,89.24,29.12,107.28,96.92,Walking
36.27,35.35,1020.19,43.25,0.13,0.03,0.06,9.12,4.3,10.57,73.64,98.19,Sedentary
37.09,23.03,1012.27,46.11,0.1,0.05,0.1,14.15,4.63,11.82,56.46,96.95,Resting
36.86,31.3,1022.74,38.18,1.13,1.18,2.02,71.5,165.42,106.0,98.15,94.83,Walking
36.43,24.39,1016.72,78.92,0.16,0.06,0.11,1.41,7.3,11.57,77.79,97.61,Resting
36.88,30.29,998.08,72.04,0.19,0.11,0.23,12.83,1.2,13.77,67.47,97.03,Resting
36.61,35.18,1010.91,53.08,0.03,0.07,0.1,6.18,1.41,6.33,45.75,97.48,Sleeping
36.62,28.04,1013.83,72.0,3.64,3.9,3.63,387.27,546.64,271.45,166.54,98.2,Running
37.16,26.68,1016.94,40.86,0.06,0.03,0.12,6.98,15.17,8.32,64.75,97.62,Sedentary
36.7,32.09,1025.08,63.82,3.66,2.99,4.05,533.91,322.09,513.74,137.5,99.06,Running
36.46,25.9,1004.57,46.41,1.39,0.65,1.28,143.07,194.47,76.93,93.65,96.81,Walking
36.88,18.43,993.63,59.39,2.1,3.11,1.59,438.78,382.29,344.08,140.22,98.2,Running
36.59,32.37,1019.94,54.05,1.56,1.77,1.24,125.84,101.43,106.16,93.97,94.78,Walking
36.75,27.92,1010.96,43.09,0.04,0.02,0.02,4.09,9.7,3.42,51.78,96.9,Sleeping
37.12,31.25,1023.71,47.3,2.88,2.81,3.28,602.79,539.17,354.77,135.44,99.03,Running
37.18,34.89,1018.67,58.27,0.08,0.02,0.13,5.06,4.76,8.8,72.8,95.89,Sedentary
37.1,37.8,1034.74,69.58,0.07,0.04,0.02,4.35,1.63,6.95,54.7,94.72,Sleeping
36.72,23.39,1005.72,70.32,2.95,2.5,3.48,314.92,338.75,539.43,137.06,97.02,Running
36.51,35.59,1013.86,42.77,0.09,0.14,0.04,8.46,2.87,4.31,73.83,97.46,Sedentary
36.66,31.21,1002.63,34.67,2.79,4.02,2.43,286.79,265.13,262.99,122.85,94.8,Running
36.95,26.8,1021.34,69.66,0.09,0.12,0.07,7.42,11.49,13.8,61.58,96.15,Resting
36.45,43.54,1015.41,55.26,1.38,0.78,1.37,112.51,159.43,167.5,94.2,97.19,Walking
36.65,28.42,1017.84,48.95,0.06,0.04,0.01,8.25,7.21,3.3,48.82,97.56,Sleeping
37.11,30.29,1029.41,75.27,0.1,0.03,0.16,14.33,10.05,9.72,65.3,96.4,Sedentary
36.53,16.38,1024.95,63.81,1.04,1.41,1.0,151.1,175.03,160.5,83.79,97.32,Walking
36.84,28.9,1014.8,73.56,0.11,0.03,0.11,9.09,10.6,4.13,74.34,97.51,Sedentary
36.51,28.23,1012.02,50.64,2.96,2.76,3.31,316.43,501.21,459.43,178.23,96.7,Running
36.85,18.3,1007.73,44.08,0.11,0.04,0.04,4.94,4.09,7.4,51.84,97.89,Sleeping
37.02,30.12,1009.43,59.94,1.42,2.1,1.0,151.8,54.96,100.17,102.94,96.11,Walking
37.22,25.89,1015.38,34.69,0.11,0.11,0.19,0.76,5.25,13.9,71.59,96.07,Sedentary
36.5,26.75,1012.22,38.53,0.07,0.09,0.03,6.17,7.18,2.98,53.17,96.53,Sleeping
36.28,27.5,1014.07,33.55,0.01,0.03,0.05,3.71,2.92,0.78,46.29,99.29,Sleeping
36.41,24.52,1024.59,59.54,1.01,1.51,0.25,62.35,100.31,66.28,96.21,94.37,Walking
37.06,26.91,1005.04,55.37,0.08,0.04,0.03,0.87,-0.57,7.49,49.91,96.68,Sleeping
37.05,34.79,1019.88,44.84,0.06,0.1,0.12,10.37,5.32,9.07,72.52,95.83,Sedentary
37.46,29.72,1011.32,63.43,0.09,0.05,0.05,7.12,5.7,7.86,44.55,97.51,Sleeping
37.2,34.29,1018.59,56.5,1.04,4.25,2.85,307.76,379.04,221.8,168.35,97.76,Running
36.7,35.03,1022.19,45.32,4.15,3.42,3.39,181.68,316.82,179.72,144.68,95.81,Running
36.78,22.81,1000.33,56.29,0.04,0.05,0.06,-1.35,8.82,3.51,50.22,96.65,Sleeping
36.86,32.42,1014.11,59.01,0.09,0.04,0.08,7.54,7.37,7.41,64.37,98.22,Sedentary
36.26,20.84,1019.97,75.0,1.67,1.35,1.16,137.91,57.16,74.93,91.66,96.65,Walking
36.84,32.48,1014.23,42.35,0.08,0.07,0.08,5.09,1.03,1.66,47.83,95.73,Sleeping
36.21,25.31,1011.28,59.02,1.12,2.13,1.32,155.98,198.43,165.09,83.92,97.75,Walking
36.42,37.77,1020.61,75.35,2.18,1.65,3.91,334.55,394.12,439.22,155.16,97.46,Running
36.6,24.43,1016.77,73.85,0.13,0.08,0.01,13.05,4.38,5.38,69.82,97.87,Sedentary
37.21,27.95,1019.74,66.29,1.58,2.04,0.73,171.23,135.27,126.52,93.93,96.78,Walking
36.49,29.27,1021.85,45.59,3.06,3.86,4.14,556.99,336.61,521.69,165.78,96.21,Running
37.32,32.25,1021.57,30.72,1.41,0.94,1.37,152.02,150.17,167.56,102.25,96.46,Walking
36.61,25.16,1003.4,49.96,3.38,1.52,3.88,625.65,314.09,440.34,169.5,97.31,Running
36.99,25.95,1005.44,63.34,2.73,1.73,2.39,343.69,316.27,407.15,158.53,97.45,Running
36.36,40.31,1008.94,31.68,0.03,0.07,0.07,6.22,8.9,4.44,43.09,97.26,Sleeping
37.05,27.83,1003.26,71.13,0.17,0.04,0.1,6.31,14.45,0.83,66.89,97.81,Resting
36.97,15.56,1004.3,43.58,0.13,0.07,0.13,17.98,10.95,14.51,63.29,97.81,Resting
36.67,27.18,1024.26,35.09,2.34,2.62,3.7,431.51,423.23,502.11,123.08,96.14,Running
36.58,24.05,1020.38,32.11,3.37,3.72,2.67,326.97,379.78,423.94,152.22,97.34,Running
36.68,14.22,1023.58,35.27,3.96,2.89,2.64,400.06,472.14,226.74,162.32,95.94,Running
37.18,34.9,1010.14,30.14,-0.01,0.17,0.06,17.09,11.96,13.15,67.62,97.63,Resting
36.97,26.14,1008.66,76.54,0.06,0.07,0.16,4.77,8.62,8.45,72.23,96.9,Sedentary
36.81,31.23,997.75,43.38,0.04,-0.03,0.07,-2.23,4.77,5.05,44.33,96.0,Sleeping
36.79,20.27,1007.49,52.75,2.42,2.39,3.11,217.04,237.57,368.69,132.68,98.41,Running
37.17,30.23,1022.56,41.16,0.16,0.11,0.12,8.52,10.08,15.77,81.51,96.18,Sedentary
37.15,28.31,1004.72,33.28,0.05,0.15,0.08,5.22,7.84,10.15,65.54,95.4,Sedentary
36.6,35.46,1021.33,66.28,2.63,3.69,3.72,407.27,452.61,276.19,155.04,97.63,Running
36.53,25.86,1019.2,33.11,0.11,0.0,0.06,11.07,5.02,4.43,45.82,97.33,Sleeping
36.41,37.7,1023.87,52.93,0.15,0.1,0.06,12.01,10.05,10.92,66.45,97.19,Resting
36.47,30.93,1016.32,42.98,0.01,0.06,0.03,6.28,5.06,3.08,60.12,97.05,Sleeping
37.02,23.83,1015.32,63.33,2.99,4.25,3.49,375.1,475.44,247.67,125.94,95.71,Running
36.47,23.97,1013.66,42.69,0.03,0.27,0.03,21.28,8.46,9.58,60.54,98.39,Resting
37.16,28.64,993.3,42.55,0.04,0.14,0.1,5.23,7.96,13.43,72.14,96.41,Resting
36.98,31.23,1029.89,46.32,1.27,1.55,1.14,107.36,164.13,146.48,93.18,95.07,Walking
36.36,25.13,1007.49,59.56,2.71,3.36,3.01,485.16,551.88,355.74,129.48,96.99,Running
37.09,28.8,1025.13,71.24,0.16,0.09,0.13,18.35,22.17,6.75,41.6,96.35,Resting
36.54,33.12,1012.72,40.18,0.06,0.04,0.11,13.35,13.93,6.08,68.68,97.65,Sedentary
36.87,23.15,1018.8,39.08,0.07,0.06,0.14,14.96,11.92,8.34,74.7,97.86,Sedentary
36.28,20.77,990.59,61.42,0.11,0.12,0.11,4.7,13.57,14.8,62.65,97.13,Resting
36.75,25.31,1015.2,36.26,1.58,1.05,1.02,82.32,138.16,132.47,90.82,96.73,Walking
36.8,29.16,1017.54,49.03,0.05,0.14,0.08,9.82,11.1,3.99,66.79,97.67,Sedentary
37.2,24.63,1026.5,45.44,0.05,0.06,0.06,8.16,9.48,7.9,44.82,94.67,Sleeping
36.61,18.87,1025.12,61.24,0.04,0.05,-0.0,6.23,1.91,0.94,51.31,97.77,Sleeping
37.13,33.13,1022.48,42.36,0.04,0.09,0.02,5.49,4.88,7.1,46.63,97.26,Sleeping
36.94,30.05,1017.24,79.52,1.36,1.18,1.25,82.43,121.75,135.15,93.32,98.34,Walking
36.41,29.06,996.39,43.21,0.01,0.02,0.02,5.62,5.21,2.83,49.58,95.89,Sleeping
37.33,32.67,1014.15,52.9,0.13,0.12,0.12,-0.02,15.79,5.77,64.74,96.37,Sedentary
37.56,26.46,1015.71,77.34,1.31,1.87,1.49,85.42,187.82,121.75,92.85,98.02,Walking
37.01,30.1,1020.58,41.02,0.03,0.07,0.05,11.32,2.5,8.51,57.3,97.07,Sleeping
36.89,26.59,1008.08,30.45,4.11,1.97,3.55,339.64,431.62,435.31,184.99,98.68,Running
36.59,28.46,1012.33,42.38,3.55,4.19,2.54,428.73,459.96,456.64,135.68,96.13,Running
37.02,19.71,1019.81,66.9,1.22,1.47,1.12,162.92,214.55,88.56,87.37,98.42,Walking
37.13,25.68,999.61,52.72,0.06,0.15,0.16,4.93,5.8,11.44,74.16,97.64,Sedentary
36.79,31.28,1029.26,53.48,2.19,2.98,2.88,578.53,410.23,497.07,169.58,95.34,Running
36.7,21.13,1014.0,45.49,0.34,1.41,1.62,101.33,93.28,160.22,78.4,96.39,Walking
36.39,21.67,1005.33,45.93,0.15,0.17,0.11,8.38,14.01,-1.82,61.2,96.1,Resting
36.94,28.63,1002.63,38.96,0.05,0.1,0.04,6.27,2.66,4.14,53.72,96.07,Sleeping
36.34,30.2,1007.9,42.19,2.02,3.36,4.24,395.32,426.69,464.37,132.67,96.1,Running
37.13,22.63,986.64,38.58,1.33,1.57,0.79,123.43,82.98,130.22,95.03,98.06,Walking
36.68,30.18,1013.32,68.24,0.14,0.15,0.12,5.47,18.55,8.69,73.74,95.98,Resting
36.88,27.46,1016.61,71.81,-0.0,0.09,0.09,17.15,11.67,8.51,67.71,98.76,Resting
37.11,35.08,1002.26,30.78,0.05,0.08,0.06,10.29,5.0,8.62,64.62,98.76,Sedentary
36.74,33.38,994.23,70.19,0.03,0.01,0.03,4.45,3.19,-1.62,53.1,96.34,Sleeping
37.18,44.5,1019.51,71.57,1.62,0.89,1.3,53.58,192.79,168.26,91.1,96.82,Walking
37.0,28.82,1000.69,49.33,0.05,0.08,0.13,2.67,17.35,8.21,75.46,96.08,Resting
37.15,36.53,996.0,65.64,0.01,0.12,0.04,14.71,14.3,20.39,75.96,96.25,Resting
37.15,31.58,1006.42,62.98,0.05,0.14,0.11,12.77,4.12,5.52,71.84,96.58,Resting
36.52,30.73,1017.97,33.16,0.1,0.09,0.08,10.66,10.79,5.43,73.68,98.04,Sedentary
36.29,23.98,1022.8,50.76,0.04,0.09,0.05,0.71,3.68,9.9,51.78,96.74,Sleeping
36.88,34.68,1021.95,78.36,0.73,0.77,0.74,108.16,163.98,78.73,119.49,97.59,Walking
36.27,19.08,1014.94,49.53,1.55,1.67,1.29,77.12,162.18,127.96,88.97,95.47,Walking
36.38,36.89,1014.41,79.78,3.71,2.53,3.1,634.5,339.31,272.93,162.51,95.53,Running
36.8,39.92,1023.11,64.54,0.9,1.01,1.69,187.4,142.52,84.81,108.41,95.72,Walking
36.64,34.25,1000.32,52.74,0.09,0.1,0.09,8.86,11.88,9.78,73.54,96.82,Sedentary
36.67,30.65,1009.2,59.7,0.11,0.09,0.03,13.18,14.17,18.22,66.42,97.25,Resting
36.8,23.52,1022.96,70.13,1.53,1.19,1.38,99.34,112.14,111.77,97.53,96.1,Walking
36.44,19.87,1011.88,53.75,0.12,0.1,0.13,3.91,7.76,15.45,58.83,96.7,Resting
36.5,21.62,1007.43,37.35,2.7,1.47,2.88,562.24,433.86,428.37,167.62,97.6,Running
36.75,21.53,1028.46,79.21,0.85,0.65,0.98,76.32,128.72,120.84,87.51,98.04,Walking
36.98,22.45,1008.01,54.47,0.15,0.13,0.08,11.81,6.53,1.18,69.69,95.82,Sedentary
36.93,23.98,1030.29,75.16,3.88,3.03,3.32,390.23,411.44,420.46,151.49,94.37,Running
36.68,32.8,1010.8,54.54,2.84,4.11,4.5,154.74,511.87,316.84,166.94,97.23,Running
36.58,29.78,1017.02,57.84,0.13,0.05,0.07,6.62,8.2,12.69,68.75,96.77,Resting
36.91,36.19,1006.92,43.27,3.2,2.2,2.37,484.15,421.79,451.55,122.36,95.68,Running
37.28,32.61,985.52,37.72,0.06,0.14,0.06,9.53,8.57,-0.52,67.0,96.79,Sedentary
36.86,26.85,1016.14,61.32,0.08,0.13,0.14,6.76,4.38,17.66,70.78,96.57,Resting
36.34,32.46,1025.21,38.67,0.09,0.03,0.06,3.66,7.26,1.65,47.56,97.75,Sleeping
36.83,25.59,1004.82,51.56,0.08,0.02,0.07,3.84,4.98,10.6,63.03,98.12,Resting
37.27,27.35,1016.31,45.88,0.81,0.81,1.6,161.54,76.47,68.83,100.33,97.99,Walking
36.56,16.03,1013.28,76.95,0.04,0.04,0.03,1.95,7.82,3.07,43.06,97.33,Sleeping
36.41,23.17,1006.51,38.86,0.16,0.09,0.14,5.16,8.08,14.77,62.23,97.85,Resting
37.1,28.78,1008.64,77.01,0.06,0.04,0.06,1.91,4.89,5.96,55.09,98.67,Sleeping
37.03,32.89,996.97,59.18,3.03,2.79,4.52,426.37,567.11,154.11,125.69,98.37,Running
36.59,30.7,1037.12,35.94,0.07,0.12,0.2,1.28,12.91,9.67,66.19,95.87,Resting
36.68,34.92,998.84,41.33,0.01,0.15,0.12,12.17,-0.82,8.36,70.23,98.89,Resting
36.64,32.19,1014.97,71.73,0.04,0.01,0.06,5.69,1.76,7.25,53.49,95.82,Sleeping
36.64,25.36,1019.4,51.04,0.04,0.05,0.13,14.14,10.15,7.15,70.89,97.23,Sedentary
36.96,35.18,1003.93,76.92,3.18,3.57,1.36,539.09,359.65,451.06,138.27,97.27,Running
37.28,24.75,995.39,56.58,0.03,0.02,0.04,5.16,5.3,0.45,51.5,96.64,Sleeping
36.88,27.47,1001.85,71.82,0.94,0.59,0.8,99.92,109.47,111.22,94.5,96.12,Walking
37.29,27.66,1015.34,71.22,0.13,0.09,0.0,3.53,7.26,9.24,68.51,96.5,Sedentary
37.17,31.48,995.35,46.26,0.06,0.02,0.09,8.13,6.75,4.61,49.53,97.67,Sleeping
37.25,25.27,1011.22,79.88,0.49,0.95,1.12,157.97,154.09,119.75,81.36,96.76,Walking
36.9,29.64,1021.67,64.52,0.03,0.03,0.04,6.91,3.47,4.64,55.42,97.65,Sleeping
36.95,23.94,1007.06,76.32,0.05,0.03,0.04,4.76,4.45,5.09,49.47,96.64,Sleeping
37.1,28.42,1027.95,78.69,0.12,0.05,0.15,8.79,13.9,6.85,51.13,95.27,Resting
36.45,32.83,1001.68,41.09,1.85,3.69,2.25,253.36,500.98,444.35,132.84,96.69,Running
37.07,26.54,1031.43,40.81,2.23,3.08,3.69,299.68,552.93,281.25,136.62,97.5,Running
37.27,33.87,999.83,39.67,0.05,0.06,0.03,7.49,14.88,12.58,71.21,96.14,Resting
36.96,15.61,1009.26,56.76,-0.05,0.16,0.06,21.33,10.58,1.58,66.97,97.13,Resting
