body_temp,ambient_temp,pressure_hpa,humidity_pct,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,heart_rate_bpm,spo2_pct,risk_level
38.25,23.08,1022.71,56.96,0.12,0.09,0.13,9.83,5.25,5.65,123.77,88.86,Warning
37.85,27.25,1008.38,56.32,0.17,0.07,0.13,14.74,6.69,5.89,92.47,97.09,Slight abnormality
40.14,26.53,1025.48,63.38,0.03,0.19,0.04,6.54,6.41,14.47,134.36,93.89,Critical
38.77,21.37,1020.53,61.6,0.22,0.01,0.07,5.31,6.5,6.79,86.76,90.76,Warning
37.37,25.07,1011.02,55.95,0.12,0.07,0.02,12.82,4.5,6.44,77.81,98.1,Healthy
37.53,21.35,1012.88,46.68,0.14,0.18,0.14,8.77,2.31,2.5,81.75,95.65,Slight abnormality
36.85,33.46,1019.09,76.36,0.11,0.03,0.09,5.48,6.32,16.18,74.31,96.08,Healthy
36.57,28.12,1006.18,49.05,0.11,0.14,0.07,11.49,15.01,3.81,76.31,96.35,Healthy
37.52,29.26,1012.98,72.57,0.06,0.02,0.21,4.34,14.18,10.16,89.01,97.71,Slight abnormality
38.78,30.73,1014.23,53.97,0.12,0.13,0.07,7.83,7.28,10.44,123.69,88.8,Warning
37.22,30.65,1012.3,45.59,0.03,0.05,0.08,6.95,9.07,10.28,74.46,97.01,Healthy
37.05,27.6,998.2,67.71,0.1,0.09,0.03,2.19,3.34,11.39,98.82,97.63,Slight abnormality
39.42,32.56,1018.0,51.3,0.06,0.12,0.07,10.08,6.36,2.33,89.5,91.55,Warning
38.91,30.9,997.67,71.72,0.04,0.09,0.05,11.93,16.84,5.03,92.08,93.03,Warning
36.8,23.58,1011.27,48.79,0.05,0.16,0.09,9.86,5.33,7.78,74.63,97.12,Healthy
39.43,30.94,1018.09,54.77,0.11,0.06,0.09,8.1,9.56,10.76,106.76,86.47,Critical
38.98,23.99,1025.99,44.83,0.1,0.19,0.09,10.45,11.18,7.73,100.15,89.91,Warning
38.88,26.94,1011.83,77.99,0.06,0.09,0.15,10.17,6.58,13.55,109.21,90.44,Warning
38.73,22.78,993.34,51.97,0.18,0.13,0.13,15.36,8.18,5.8,112.22,91.03,Warning
40.67,21.53,1015.34,32.69,0.14,0.08,0.12,1.7,3.79,13.03,134.01,86.18,Critical
36.28,39.5,1023.75,55.42,0.14,0.13,0.1,2.54,12.47,13.62,69.25,96.91,Healthy
38.42,31.05,1015.45,62.88,0.15,0.11,0.04,12.98,13.85,8.22,126.5,90.28,Warning
37.37,30.1,1004.13,45.28,0.07,0.09,0.1,6.08,13.24,9.4,81.83,98.2,Slight abnormality
40.44,36.96,1013.81,35.21,0.12,0.06,0.08,4.1,14.9,8.72,130.13,84.92,Critical
37.28,14.13,1021.01,37.37,0.1,0.17,0.16,6.75,14.74,13.41,71.33,97.83,Slight abnormality
37.76,27.92,1021.5,77.52,0.13,0.05,0.15,12.28,4.59,3.36,93.04,97.62,Slight abnormality
37.56,22.15,984.28,36.67,0.12,0.09,0.08,2.03,12.57,7.34,86.22,95.23,Slight abnormality
37.57,24.54,1012.33,51.44,0.08,0.14,0.09,8.4,9.91,14.43,85.2,96.54,Slight abnormality
37.01,31.51,1013.97,32.61,0.11,0.04,0.01,4.87,11.24,10.44,65.79,96.99,Healthy
39.9,27.34,1004.77,64.19,0.1,0.12,0.06,7.21,4.68,11.54,157.49,85.14,Critical
36.93,32.52,989.37,62.55,0.08,0.06,0.1,4.64,-4.61,12.18,75.54,97.18,Healthy
37.61,31.98,1021.09,30.9,0.08,0.06,-0.01,9.82,10.64,15.33,81.63,96.31,Slight abnormality
40.3,27.97,1023.38,49.02,0.1,0.1,0.06,10.42,14.41,5.13,152.27,79.25,Critical
39.33,18.85,1016.8,48.16,0.04,0.04,0.13,10.24,14.78,20.1,200.87,85.73,Critical
38.89,30.14,1011.13,38.11,0.05,0.1,0.17,9.6,12.26,4.69,110.49,91.47,Warning
36.64,25.17,1013.7,42.22,0.09,0.11,0.08,3.36,15.42,13.68,59.94,97.48,Healthy
39.46,27.48,1025.25,78.96,0.07,-0.0,0.14,16.29,2.41,16.22,156.49,80.28,Critical
39.88,25.48,1027.44,67.96,0.09,0.07,0.08,12.16,7.03,9.04,156.0,86.13,Critical
37.43,25.32,1012.09,67.0,0.09,0.05,0.16,9.4,-0.86,14.24,94.22,98.9,Slight abnormality
39.87,26.59,1011.8,32.31,0.2,0.13,0.21,6.12,20.46,8.1,116.0,87.11,Critical
37.36,24.75,1013.83,79.77,0.06,0.12,0.14,14.51,11.07,13.67,90.7,98.05,Slight abnormality
37.15,27.62,1021.76,36.88,0.19,0.1,0.07,10.14,7.41,11.21,63.53,96.28,Healthy
38.43,23.78,1034.71,77.53,0.17,0.18,0.14,10.38,1.99,8.77,132.19,93.22,Warning
36.61,25.47,987.83,53.71,0.08,0.09,0.12,-2.51,2.33,21.48,57.61,97.11,Healthy
36.37,24.1,1011.06,60.85,0.15,0.07,0.12,23.65,11.89,9.1,68.36,97.01,Healthy
40.21,22.38,1018.79,63.55,0.1,0.09,0.11,13.79,9.56,8.15,166.83,80.34,Critical
36.66,23.06,1011.69,34.01,0.14,0.09,0.06,-0.76,6.4,8.94,71.17,98.61,Healthy
39.01,30.26,1002.25,67.05,0.17,0.17,0.11,14.57,4.3,10.03,111.75,92.63,Warning
38.9,37.2,1005.55,43.77,0.0,0.14,0.14,16.44,12.35,14.23,99.94,94.78,Warning
38.44,21.67,1013.44,62.29,0.08,0.11,0.09,9.63,12.88,-1.96,116.46,87.3,Warning
38.48,27.87,1015.8,64.41,0.02,0.06,0.15,18.08,3.83,7.04,92.8,92.01,Warning
38.51,25.63,990.13,52.21,0.06,0.08,0.05,9.82,7.93,15.35,112.34,92.4,Warning
37.26,26.9,1025.28,45.12,0.13,-0.0,0.11,4.1,17.86,11.25,83.79,95.51,Slight abnormality
37.41,24.73,1003.98,46.29,0.07,0.04,0.11,11.62,8.21,13.16,70.68,97.63,Healthy
39.78,33.43,1013.98,36.53,0.08,0.09,0.23,2.49,11.27,12.34,155.6,82.34,Critical
37.43,18.93,1032.36,60.29,0.11,0.08,0.0,9.61,26.27,3.78,96.74,97.65,Slight abnormality
37.16,28.96,1032.57,66.14,0.17,0.16,0.09,9.32,15.02,21.67,67.3,97.41,Healthy
37.64,34.05,998.6,33.45,0.15,0.12,0.16,5.66,17.23,10.7,94.86,97.46,Slight abnormality
36.91,26.46,994.06,33.84,0.06,0.09,0.06,6.62,9.28,6.04,78.56,96.97,Healthy
38.96,20.04,1005.42,37.62,0.04,0.1,0.15,16.18,12.13,8.3,114.2,89.05,Warning
36.88,24.76,1014.89,64.13,0.06,0.12,0.1,15.02,20.94,3.55,56.78,98.2,Healthy
37.78,26.38,1003.36,50.12,0.05,0.05,0.11,11.13,12.14,4.38,97.07,95.92,Slight abnormality
37.45,25.62,1021.74,69.45,0.14,0.06,0.07,8.48,3.27,5.9,99.45,97.16,Slight abnormality
36.98,26.2,1007.2,36.48,0.12,0.1,0.07,5.79,12.05,12.75,68.64,96.25,Healthy
39.67,13.84,1013.17,52.88,0.11,0.09,0.08,10.7,12.04,9.38,125.59,82.97,Critical
36.76,31.24,1020.56,31.8,0.18,0.07,0.15,8.37,14.19,16.53,71.76,95.67,Healthy
36.91,31.02,1007.56,35.58,0.16,0.04,0.18,5.5,13.19,8.36,62.78,96.13,Healthy
37.47,32.57,1003.52,73.88,0.05,0.14,0.11,10.41,13.3,8.62,85.11,97.1,Slight abnormality
37.12,29.28,1022.89,78.71,0.18,0.09,0.11,14.9,6.29,-0.81,64.21,97.12,Healthy
38.84,24.9,1037.07,32.99,0.12,0.16,0.05,6.67,11.56,10.75,136.59,96.25,Warning
38.03,30.49,1024.4,49.41,0.08,0.08,0.16,12.79,4.44,11.23,122.73,93.28,Warning
39.58,27.5,1007.56,45.1,0.11,0.08,0.12,10.99,2.15,9.92,175.04,87.62,Critical
38.11,28.24,1016.32,42.98,0.07,0.1,0.09,3.84,12.24,11.86,76.37,95.11,Slight abnormality
38.67,20.27,1018.62,60.15,0.18,0.15,0.08,6.35,15.24,8.8,116.95,93.09,Warning
39.61,26.76,1009.42,49.89,0.08,0.08,0.11,7.82,9.67,20.5,123.12,78.59,Critical
36.29,23.68,1009.35,65.96,0.0,0.16,0.09,12.44,13.29,12.21,66.62,98.24,Healthy
39.25,26.2,978.29,40.23,0.06,0.15,0.14,8.55,17.06,7.97,157.27,88.55,Critical
39.64,33.29,1008.2,55.78,0.13,0.08,0.05,9.55,14.5,13.72,149.02,86.47,Critical
38.08,31.33,1017.63,51.13,0.07,0.1,0.05,4.57,13.4,4.26,92.03,93.73,Warning
37.4,28.67,995.51,43.44,0.14,0.06,0.04,10.71,3.55,1.0,113.0,96.18,Slight abnormality
36.32,32.98,1021.16,64.73,0.14,0.1,0.05,-1.55,10.79,15.41,76.34,97.97,Healthy
38.43,24.45,1031.76,57.47,0.08,0.08,0.05,12.27,11.56,7.76,80.52,87.13,Warning
39.86,28.04,1006.4,65.92,0.02,0.08,0.14,12.88,12.5,10.25,155.38,85.97,Critical
39.19,26.97,1008.3,76.76,0.13,0.15,0.03,15.07,10.03,16.76,163.64,83.43,Critical
39.33,24.48,1022.32,51.64,0.16,0.02,0.16,5.66,6.57,9.24,174.72,84.38,Critical
39.2,28.57,1003.61,78.95,0.13,0.13,0.12,9.16,12.02,9.79,154.79,79.61,Critical
36.91,24.39,1014.77,33.78,0.1,0.03,0.05,4.98,11.04,10.35,58.03,96.35,Healthy
37.33,17.97,1032.49,59.18,0.19,0.11,0.06,16.87,14.78,15.04,73.52,96.6,Slight abnormality
37.84,26.36,996.76,77.88,0.18,0.14,0.06,18.48,10.22,8.72,86.66,97.28,Slight abnormality
37.04,34.73,1015.64,63.53,0.21,0.06,0.16,11.75,11.49,10.27,80.42,96.97,Slight abnormality
38.66,31.41,1027.87,63.64,0.06,0.07,0.05,5.84,9.66,6.42,116.79,89.2,Warning
37.5,33.0,1010.63,61.9,0.08,0.17,0.13,7.07,14.27,8.06,102.72,97.09,Slight abnormality
37.19,26.12,1030.49,43.01,0.01,0.07,0.1,13.97,9.92,11.26,87.21,96.52,Slight abnormality
36.72,26.64,1014.56,73.63,0.09,0.16,0.09,13.9,1.89,11.77,76.85,97.96,Healthy
36.96,42.93,1016.67,63.85,0.12,0.1,-0.01,8.85,5.74,10.88,67.96,96.87,Healthy
36.71,26.89,988.91,51.48,0.09,0.1,0.08,0.82,17.97,6.81,65.92,94.93,Healthy
38.26,31.0,1011.54,41.71,0.12,0.06,0.09,10.53,2.36,2.91,125.32,96.18,Warning
38.62,28.28,1014.33,54.79,0.19,0.06,0.13,12.65,0.21,8.21,108.47,93.45,Warning
40.6,22.44,1027.64,42.66,0.09,0.1,0.03,8.5,9.75,23.1,174.89,85.53,Critical
36.72,27.95,1030.58,30.78,0.07,0.15,0.26,8.19,16.08,8.37,72.69,96.61,Healthy
38.87,26.53,1026.46,79.86,0.12,0.1,0.11,7.2,9.03,6.68,162.39,82.46,Critical
39.54,29.58,1016.06,48.66,0.03,0.03,0.09,8.02,9.08,13.26,154.98,78.36,Critical
37.61,25.78,1008.21,74.52,0.1,0.17,0.12,5.69,17.02,13.49,92.18,97.79,Slight abnormality
38.64,35.53,1000.45,59.99,0.12,0.18,0.11,6.26,1.5,5.97,124.14,93.72,Warning
40.66,27.74,998.78,43.48,0.08,0.16,0.13,14.63,4.51,10.49,161.94,81.21,Critical
37.11,26.7,1022.35,71.22,0.17,0.14,0.14,7.95,7.46,1.5,73.97,96.84,Healthy
40.7,30.35,997.64,33.36,0.13,0.08,0.08,13.66,11.68,11.58,133.77,86.47,Critical
36.89,28.18,1001.91,30.27,0.05,0.04,0.09,15.5,4.84,15.57,89.6,95.82,Healthy
38.72,28.8,1010.94,56.38,0.19,0.19,0.08,3.23,7.23,13.52,119.38,93.77,Warning
37.0,29.77,1009.45,40.21,0.15,0.11,0.13,10.79,7.57,18.04,70.05,96.56,Healthy
37.17,28.22,1018.58,54.42,0.08,0.12,0.18,14.27,12.07,12.32,86.87,96.47,Slight abnormality
36.93,27.47,999.12,64.53,0.08,0.11,0.06,8.1,10.89,10.82,78.33,97.17,Healthy
38.29,33.96,1011.8,33.12,0.09,0.11,0.06,14.98,11.44,10.37,107.05,91.59,Warning
37.37,21.72,1018.85,31.03,0.07,0.1,0.16,-2.69,7.94,7.58,100.9,96.7,Slight abnormality
40.18,19.07,1009.4,59.03,0.07,0.08,0.05,9.84,5.76,12.87,126.69,85.07,Critical
38.08,17.8,1014.74,68.26,0.11,0.05,0.15,4.27,7.48,13.15,71.85,95.97,Warning
35.8,29.72,1015.62,58.97,0.15,0.09,0.15,7.37,0.18,7.54,58.25,96.58,Healthy
36.89,29.07,1021.29,58.83,0.06,0.15,0.11,8.9,-2.87,8.73,99.32,98.0,Slight abnormality
37.41,31.41,1017.09,42.48,0.09,0.16,0.11,7.34,12.42,4.49,92.96,96.28,Slight abnormality
40.05,31.71,1022.99,60.76,0.12,0.02,0.07,5.36,10.71,12.87,182.24,86.44,Critical
36.87,24.75,1013.02,31.75,0.07,0.04,0.22,11.11,10.11,14.43,107.25,96.63,Slight abnormality
37.07,32.32,1015.79,72.82,-0.0,0.11,0.1,14.41,17.78,19.56,75.66,96.57,Slight abnormality
36.48,27.42,1015.15,60.57,0.06,0.14,0.09,9.68,10.46,11.26,70.78,98.3,Healthy
38.73,25.58,992.39,51.78,0.18,-0.01,0.1,8.74,13.25,19.71,100.04,93.76,Warning
37.5,30.42,996.51,53.55,0.04,0.08,0.04,4.52,11.49,9.72,102.06,96.18,Slight abnormality
39.37,26.08,1022.54,67.87,0.07,0.08,0.16,9.43,14.2,5.16,128.74,84.42,Critical
37.14,18.44,1012.31,59.8,0.16,0.09,0.12,7.15,0.9,11.35,87.62,95.94,Slight abnormality
36.32,24.42,1005.68,59.25,0.09,0.19,0.11,16.96,-0.25,14.07,60.28,97.04,Healthy
36.73,25.85,1011.54,32.64,0.12,0.2,0.01,12.91,9.67,12.25,71.19,96.32,Healthy
39.62,30.1,1013.81,37.8,0.11,0.12,0.06,11.37,12.22,7.56,141.19,89.16,Critical
36.66,30.25,1007.9,53.78,0.08,0.08,0.16,0.65,8.06,10.95,74.41,98.2,Healthy
40.44,28.38,1011.2,62.41,0.02,0.15,0.06,6.19,17.75,10.35,128.17,82.45,Critical
38.46,26.11,1009.5,71.37,0.05,0.01,0.16,16.43,9.17,6.6,102.06,88.97,Warning
39.3,26.9,1012.11,69.05,0.1,0.07,0.02,5.02,7.49,8.68,107.68,86.21,Critical
37.43,18.24,1014.44,58.65,0.0,0.04,0.09,11.55,9.72,16.09,89.14,97.14,Slight abnormality
37.91,27.13,1027.88,52.72,0.16,0.06,0.07,11.35,11.51,4.64,107.33,89.27,Warning
37.43,25.62,1004.6,30.83,0.05,-0.01,0.16,8.36,8.31,17.48,100.49,96.28,Slight abnormality
37.21,24.54,1023.45,42.39,0.05,0.06,0.05,5.18,8.06,3.06,104.12,96.94,Slight abnormality
40.28,24.99,1017.32,41.22,0.05,0.12,0.09,14.23,-0.64,9.5,162.71,82.81,Critical
36.84,36.84,1018.02,40.81,0.05,0.16,0.04,11.82,12.6,9.39,65.97,95.99,Healthy
37.35,35.84,1004.4,39.67,0.09,0.09,0.06,3.27,18.49,5.67,74.87,97.71,Healthy
37.52,26.13,1004.65,31.75,0.12,0.08,0.12,5.23,10.55,10.64,92.46,97.86,Slight abnormality
40.56,31.56,994.17,72.53,0.08,0.14,0.21,6.91,2.32,0.6,160.86,90.88,Critical
37.34,29.42,1037.97,33.05,0.06,-0.06,0.13,4.46,13.31,13.19,87.29,97.16,Slight abnormality
38.09,24.17,1020.29,41.67,0.18,0.18,0.15,1.4,19.14,14.59,130.56,93.39,Warning
37.87,30.39,1012.38,68.87,0.09,0.07,0.12,2.03,18.47,15.98,101.95,96.64,Slight abnormality
37.2,27.14,1020.72,37.16,0.11,0.15,0.1,24.34,1.66,15.29,100.37,95.75,Slight abnormality
37.18,30.72,1011.37,32.12,0.16,0.02,0.13,8.83,10.72,8.88,96.32,97.37,Slight abnormality
38.97,21.51,1005.42,30.64,0.06,0.11,0.18,6.72,8.11,11.38,112.01,92.16,Warning
36.97,18.19,1009.05,53.82,0.18,0.05,0.08,-2.04,6.02,9.08,80.66,97.23,Healthy
37.3,33.31,1018.32,55.0,0.16,0.12,0.05,11.08,4.87,15.5,62.44,95.85,Healthy
37.21,29.4,997.97,56.18,0.16,0.14,0.1,0.24,6.82,13.52,79.41,96.83,Slight abnormality
36.54,22.6,1021.36,70.5,0.21,0.13,0.04,19.85,9.9,5.81,70.68,98.18,Healthy
39.07,22.05,1023.87,48.5,0.1,0.13,0.12,10.88,13.13,10.93,113.74,93.54,Warning
36.27,19.03,999.45,62.98,0.1,-0.01,0.12,5.1,4.23,1.56,65.25,96.83,Healthy
39.7,19.45,1004.61,63.78,0.04,0.07,0.12,7.4,7.54,10.91,152.17,83.33,Critical
37.74,24.04,1010.96,44.82,0.11,0.01,0.15,10.92,16.95,10.62,89.26,98.0,Slight abnormality
38.03,21.04,1002.89,39.76,0.0,0.11,0.11,-6.7,6.88,4.96,127.67,95.08,Warning
40.08,37.96,1004.68,49.05,0.13,0.11,0.09,20.23,6.63,7.98,138.21,84.06,Critical
37.04,27.44,1014.21,50.76,0.07,0.06,0.06,10.03,-2.17,2.45,67.88,95.64,Healthy
38.28,26.95,1007.83,49.34,0.13,0.02,0.11,7.04,11.17,3.92,108.09,90.88,Warning
36.55,24.01,1019.08,75.14,0.1,0.1,0.08,11.0,10.04,6.76,65.03,96.77,Healthy
36.96,24.41,1000.15,79.48,0.08,0.09,0.1,9.6,10.26,4.7,66.71,97.13,Healthy
38.49,30.45,1000.14,32.55,0.06,0.19,0.05,8.24,10.29,10.26,91.08,93.01,Warning
37.82,19.49,1007.03,66.54,0.03,0.13,0.08,7.52,12.98,2.36,107.12,96.1,Slight abnormality
38.7,28.83,1007.5,68.45,0.12,0.14,0.2,7.74,15.69,19.85,134.46,89.92,Warning
36.74,27.48,1000.61,57.67,0.09,0.2,0.01,4.74,17.49,19.29,65.35,95.83,Healthy
36.64,20.97,1011.29,45.87,0.1,0.05,0.16,7.27,17.61,10.3,75.73,96.4,Healthy
37.47,28.32,1009.4,77.07,0.01,0.11,0.1,8.86,14.97,5.46,77.01,95.53,Slight abnormality
40.73,20.62,1017.42,44.79,0.03,0.1,0.01,11.14,5.11,15.1,133.45,80.32,Critical
36.55,21.53,1006.04,50.02,0.05,0.21,0.17,19.6,3.89,10.36,64.89,96.18,Healthy
